Location,Sale Date,Sale Price,Model,Style,Living Area,Land Area (SF),Nbhd
157 WIDOW SWEETS RD ,09/26/2019,375000.00,Residential,Colonial,2152,60984,06
81 WIDOW SWEETS RD ,08/19/2019,499900.00,Residential,Contemporary,3186,138085,06
1 WIDOW SWEETS RD ,02/27/2019,160000.00,Residential,Ranch,1855,455202,06
32 NEW LONDON TPK ,09/24/2019,410000.00,Residential,Colonial,1764,131551,06
97 BLACK PLAIN RD ,06/14/2019,230000.00,Residential,Ranch,968,69696,05
1425 TEN ROD RD ,04/04/2019,305000.00,Residential,Split Level,1644,95832,05
52 FOREST HILLS DR ,07/16/2019,510000.00,Residential,Colonial,2948,235224,10
73 RIDGE DR ,01/03/2019,730000.00,Residential,Cape,3492,148104,10
951B TEN ROD RD ,09/20/2019,372000.00,Residential,Log,1520,291416,05
291 WIDOW SWEETS RD ,08/16/2019,428000.00,Residential,Colonial,2526,219106,06
8 REUBEN BROWN LN ,11/26/2019,589500.00,Residential,Cape,2538,174240,08
67 REUBEN BROWN LN ,04/17/2019,680000.00,Residential,Colonial,4127,174675,08
52 NEW RD ,12/11/2019,495000.00,Residential,Colonial,2581,95832,07
53 NEW RD ,11/08/2019,465500.00,Residential,Cape,2023,178596,07
14 WINDROSE CIR ,03/05/2019,144500.00,Residential,Colonial,2906,131115,09
2552A TEN ROD RD ,12/11/2019,417000.00,Residential,Cape,1362,290980,05
652 GARDNER RD ,12/16/2019,375000.00,Residential,Cottage,1396,958320,06
1060 TEN ROD RD ,06/07/2019,360000.00,Residential,Colonial,2477,131115,05
115 HALLVILLE RD ,03/25/2019,290000.00,Residential,R Ranch,1608,586317,05
11 PURGATORY RD ,09/30/2019,530000.00,Residential,Colonial,2242,82764,06
460B TEN ROD RD ,11/08/2019,415000.00,Residential,Ranch,2088,178596,05
70 LOCUST VALLEY RD ,01/30/2019,435000.00,Residential,Colonial,2551,174240,07
40 SOUTH RD ,07/08/2019,335000.00,Residential,R Ranch,1144,12501,05
41 CEDAR GROVE DR ,05/07/2019,235000.00,Residential,Ranch,1404,12501,05
96 CEDAR GROVE DR ,11/27/2019,260000.00,Residential,R Ranch,1040,12501,05
49 EVERGREEN DR ,06/18/2019,267000.00,Residential,Ranch,960,12501,05
13 PINOAK DR ,11/22/2019,320000.00,Residential,Cape,1278,13590,05
145 SKUNK HILL RD ,04/09/2019,350000.00,Residential,Conventional,2132,522720,06
249 BELL SCHOOL HOUSE RD ,04/03/2019,595000.00,Residential,Colonial,3600,1197900,06
4 LEVITT LN ,12/11/2019,244900.00,Residential,Ranch,1008,32277,06
89 SHEFFIELD HILL RD ,06/28/2019,315000.00,Residential,Ranch,1758,209088,07
35 DOLLY POND RD ,03/18/2019,375000.00,Residential,R Ranch,1718,95832,06
185 SHEFFIELD HILL RD ,04/29/2019,407000.00,Residential,Colonial,2202,217800,07
15 LIBERTY CHURCH RD ,11/15/2019,430000.00,Residential,Colonial,2293,52272,06
350 WILLIAM REYNOLDS RD ,05/17/2019,390000.00,Residential,Cape,1638,28139,06
271 WILLIAM REYNOLDS RD ,05/17/2019,306000.00,Residential,Ranch,1498,74052,06
152 SOUTH RD ,12/20/2019,370000.00,Residential,R Ranch,1132,130680,05
152 SOUTH RD ,03/15/2019,80000.00,Residential,R Ranch,1132,130680,05
152 SOUTH RD ,01/31/2019,70000.00,Residential,R Ranch,1132,130680,05
57 MOCKINGBIRD DR ,10/29/2019,365000.00,Residential,R Cape,2004,13590,05
7 ROBIN DR ,05/20/2019,330000.00,Residential,R Ranch,1144,15986,05
61 MOCKINGBIRD DR ,11/22/2019,235000.00,Residential,Ranch,936,12196,05
52 LEVITT LN ,07/30/2019,380000.00,Residential,Contemporary,2648,71002,06
67 LEVITT LN ,07/24/2019,300000.00,Residential,Log,1496,91476,06
